DISTRICT,DISTRICT NAME,ADDRESS,CITY,STATE,ZIP
1,Central,1718 S State St,Chicago,IL,60616
2,Wentworth,5101 S Wentworth Ave,Chicago,IL,60609
3,Grand Crossing,7040 S Cottage Grove Ave,Chicago,IL,60637
4,South Chicago,2255 E 103rd St,Chicago,IL,60617
5,Calumet,727 E 111th St,Chicago,IL,60628
6,Gresham,7808 S Halsted St,Chicago,IL,60620
7,Englewood,1438 W 63rd St,Chicago,IL,60636
8,Chicago Lawn,3420 W 63rd St,Chicago,IL,60629
9,Deering,3120 S Halsted St,Chicago,IL,60608
10,Ogden,3315 W Ogden Ave,Chicago,IL,60623
11,Harrison,3151 W Harrison St,Chicago,IL,60612
12,Near West,1412 S Blue Island Ave,Chicago,IL,60608
14,Shakespeare,2150 N California Ave,Chicago,IL,60647
15,Austin,5701 W Madison St,Chicago,IL,60644
16,Jefferson Park,5151 N Milwaukee Ave,Chicago,IL,60630
17,Albany Park,4650 N Pulaski Rd,Chicago,IL,60630
18,Near North,1160 N Larrabee St,Chicago,IL,60610
19,Town Hall,850 W Addison St,Chicago,IL,60613
20,Lincoln,5400 N Lincoln Ave,Chicago,IL,60625
22,Morgan Park,1900 W Monterey Ave,Chicago,IL,60643
24,Rogers Park,6464 N Clark St,Chicago,IL,60626
25,Grand Central,5555 W Grand Ave,Chicago,IL,60639
Headquarters,Headquarters,3510 S Michigan Ave,Chicago,IL,60653
